"make";"model";"car";"year";"Body";"Odometer";"Transmission";"price";"URL";"state";"adType"
"MAZDA";"2";"2014 Mazda 2 Neo Sport DE Series 2 Auto";2014;"Hatch";28513;"Automatic";14450;"http://www.carsales.com.au/dealer/details/Mazda-2-2014/OAG-AD-14565851/?gts=OAG-AD-14565851&gtssaleid=OAG-AD-14565851&rankingType=TopSpot";"SA";"Used Car"
"MAZDA";"6";"2008 Mazda 6 Luxury Sports GH Series 1 Manual";2008;"Hatch";103000;"Manual";10100;"http://www.carsales.com.au/private/details/Mazda-6-2008/SSE-AD-4530601/?gts=SSE-AD-4530601&gtssaleid=SSE-AD-4530601&rankingType=Spotlight";"QLD";"Private Seller Car"
"MAZDA";"3";"2006 Mazda 3 Maxx Sport BK Series 1 Auto";2006;"Sedan";108028;"Automatic";9244;"http://www.carsales.com.au/dealer/details/Mazda-3-2006/OAG-AD-14419986/?gts=OAG-AD-14419986&gtssaleid=OAG-AD-14419986&rankingType=Showcase";"SA";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 2 Auto";2011;"Hatch";77000;"Automatic";12000;"http://www.carsales.com.au/private/details/Mazda-3-2011/SSE-AD-4627337/?gts=SSE-AD-4627337&gtssaleid=SSE-AD-4627337&rankingType=Spotlight";"ACT";"Private Seller Car"
"MAZDA";"3";"2009 Mazda 3 SP25 BL Series 1 Manual";2009;"Hatch";124466;"Manual";11750;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14183995/?gts=OAG-AD-14183995&gtssaleid=OAG-AD-14183995&rankingType=Showcase";"NSW";"Used Car"
"MAZDA";"2";"2008 Mazda 2 Neo DE Series 1 Manual";2008;"Hatch";87600;"Manual";7500;"http://www.carsales.com.au/private/details/Mazda-2-2008/SSE-AD-4665604/?gts=SSE-AD-4665604&gtssaleid=SSE-AD-4665604&rankingType=Spotlight";"VIC";"Private Seller Car"
"MAZDA";"2";"2013 Mazda 2 Neo Sport DE Series 2 Auto";2013;"Hatch";41030;"Automatic";13000;"http://www.carsales.com.au/dealer/details/Mazda-2-2013/OAG-AD-14272466/?gts=OAG-AD-14272466&gtssaleid=OAG-AD-14272466&rankingType=Showcase";"SA";"Used Car"
"MAZDA";"3";"2012 Mazda 3 Neo BL Series 2 Auto";2012;"Sedan";84759;"Automatic";14250;"http://www.carsales.com.au/dealer/details/Mazda-3-2012/OAG-AD-14445533/?Cr=0";"SA";"Used Car"
"MAZDA";"2";"2011 Mazda 2 Maxx DE Series 1 Manual";2011;"Hatch";50733;"Manual";12500;"http://www.carsales.com.au/dealer/details/Mazda-2-2011/OAG-AD-14478328/?Cr=1";"VIC";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Maxx Sport BL Series 1 Auto";2011;"Sedan";82915;"Automatic";14850;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14354013/?Cr=3";"SA";"Used Car"
"MAZDA";"3";"2010 Mazda 3 Maxx BL Series 1 Auto";2010;"Hatch";50407;"Automatic";14888;"http://www.carsales.com.au/dealer/details/Mazda-3-2010/OAG-AD-14532454/?Cr=4";"VIC";"Used Car"
"MAZDA";"6";"2010 Mazda 6 Classic GH Series 2 Auto";2010;"Sedan";108221;"Automatic";14888;"http://www.carsales.com.au/dealer/details/Mazda-6-2010/OAG-AD-14561677/?Cr=5";"VIC";"Used Car"
"MAZDA";"3";"2006 Mazda 3 Neo BK Series 2 Auto";2006;"Hatch";133461;"Automatic";7999;"http://www.carsales.com.au/dealer/details/Mazda-3-2006/OAG-AD-14311906/?Cr=6";"QLD";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Auto";2013;"Sedan";107252;"Automatic";12990;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-14498928/?Cr=8";"NSW";"Used Car"
"MAZDA";"2";"2008 Mazda 2 Genki DE Series 1 Auto";2008;"Hatch";112761;"Automatic";9990;"http://www.carsales.com.au/dealer/details/Mazda-2-2008/OAG-AD-14317276/?Cr=9";"VIC";"Used Car"
"MAZDA";"6";"2010 Mazda 6 Classic GH Series 2 Auto";2010;"Hatch";85006;"Automatic";14688;"http://www.carsales.com.au/dealer/details/Mazda-6-2010/OAG-AD-14261044/?Cr=10";"NSW";"Used Car"
"MAZDA";"6";"2010 Mazda 6 Classic GH Series 2 Auto";2010;"Hatch";63000;"Automatic";13500;"http://www.carsales.com.au/private/details/Mazda-6-2010/SSE-AD-4226834/?Cr=11";"QLD";"Private Seller Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 1 Auto";2011;"Sedan";117411;"Automatic";12990;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14401308/?Cr=12";"VIC";"Used Car"
"MAZDA";"2";"2013 Mazda 2 Neo DE Series 2 Auto";2013;"Hatch";82104;"Automatic";11990;"http://www.carsales.com.au/dealer/details/Mazda-2-2013/OAG-AD-14324570/?Cr=13";"NSW";"Used Car"
"MAZDA";"3";"2007 Mazda 3 Neo BK Series 2 Manual";2007;"Sedan";194335;"Manual";6490;"http://www.carsales.com.au/private/details/Mazda-3-2007/SSE-AD-4509938/?Cr=14";"ACT";"Private Seller Car"
"MAZDA";"CX-7";"2007 Mazda CX-7 Luxury ER Series 1 Auto 4WD";2007;"SUV";80022;"Automatic";14999;"http://www.carsales.com.au/dealer/details/Mazda-CX-7-2007/OAG-AD-14562450/?Cr=15";"NSW";"Used Car"
"MAZDA";"6";"2005 Mazda 6 Classic GG Series 1 Manual";2005;"Hatch";156170;"Manual";5999;"http://www.carsales.com.au/dealer/details/Mazda-6-2005/OAG-AD-14527134/?Cr=18";"VIC";"Used Car"
"MAZDA";"3";"2012 Mazda 3 Neo BL Series 2 Manual";2012;"Hatch";79197;"Manual";13690;"http://www.carsales.com.au/dealer/details/Mazda-3-2012/OAG-AD-14521298/?Cr=19";"NSW";"Used Car"
"MAZDA";"2";"2013 Mazda 2 Maxx Sport DE Series 2 Auto";2013;"Hatch";46174;"Automatic";12980;"http://www.carsales.com.au/dealer/details/Mazda-2-2013/OAG-AD-14359680/?Cr=20";"NT";"Used Car"
"MAZDA";"3";"2009 Mazda 3 SP25 BL Series 1 Auto";2009;"Sedan";95536;"Automatic";14990;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14253172/?Cr=21";"VIC";"Used Car"
"MAZDA";"2";"2011 Mazda 2 Neo DE Series 1 Manual";2011;"Hatch";37586;"Manual";11990;"http://www.carsales.com.au/dealer/details/Mazda-2-2011/OAG-AD-14473563/?Cr=22";"WA";"Used Car"
"MAZDA";"2";"2009 Mazda 2 Neo DE Series 1 Manual";2009;"Hatch";64679;"Manual";9990;"http://www.carsales.com.au/dealer/details/Mazda-2-2009/OAG-AD-14474750/?Cr=23";"NSW";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Auto";2013;"Sedan";28000;"Automatic";14999;"http://www.carsales.com.au/private/details/Mazda-3-2013/SSE-AD-4649761/?Cr=24";"VIC";"Private Seller Car"
"MAZDA";"3";"2010 Mazda 3 Neo BL Series 1 Auto";2010;"Sedan";98072;"Automatic";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2010/OAG-AD-14451083/?Cr=25";"NSW";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Auto";2013;"Hatch";78451;"Automatic";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-14455607/?Cr=26";"WA";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Manual";2013;"Hatch";94715;"Manual";13950;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-14506695/?Cr=28";"SA";"Used Car"
"MAZDA";"3";"2013 Mazda 3 SP25 BL Series 2 Manual";2013;"Sedan";20239;"Manual";14990;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-13654399/?Cr=29";"NT";"Used Car"
"MAZDA";"3";"2009 Mazda 3 SP25 BL Series 1 Manual";2009;"Hatch";92360;"Manual";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14399498/?Cr=30";"NSW";"Used Car"
"MAZDA";"3";"2008 Mazda 3 Maxx Sport BK Series 2 Manual";2008;"Sedan";124035;"Manual";9990;"http://www.carsales.com.au/dealer/details/Mazda-3-2008/OAG-AD-14469383/?Cr=32";"SA";"Used Car"
"MAZDA";"3";"2008 Mazda 3 Neo Sport BK Series 2 Manual";2008;"Sedan";89550;"Manual";8990;"http://www.carsales.com.au/dealer/details/Mazda-3-2008/OAG-AD-14080165/?Cr=33";"QLD";"Used Car"
